Date,Day,DTE,EntryTime,Future,CE.Strike,CE.Open,CE.High,CE.Low,CE.Close,CE.SL.Flag,CE.SL.Time,CE.PNL,PE.Strike,PE.Open,PE.High,PE.Low,PE.Close,PE.SL.Flag,PE.SL.Time,PE.PNL
2024-05-24,Friday,1,09:20:00,75425.55,75400CE,255.95,320.0,12.0,15.15,True,2024-05-24 09:21:00,-54.39,75400PE,221.95,268.75,0.7,1.55,True,2024-05-24 10:15:00,-47.16
2024-05-27,Monday,5,09:20:00,75555.69,75600CE,515.0,814.6,381.4,500.2,True,2024-05-27 11:45:00,-109.44,75600PE,506.4,639.5,299.7,502.65,True,2024-05-27 15:00:00,-107.61
2024-05-28,Tuesday,4,09:20:00,75488.36,75600CE,471.7,514.35,327.6,354.8,False,,111.0,75600PE,501.0,617.5,447.65,555.75,True,2024-05-28 12:35:00,-106.46
2024-05-29,Wednesday,3,09:20:00,74864.47,75100CE,395.2,437.0,221.1,243.05,False,,147.21,75100PE,427.05,666.4,390.75,612.45,True,2024-05-29 10:07:00,-90.75
2024-05-30,Thursday,2,09:20:00,74462.21,74600CE,392.3,394.0,68.5,92.15,False,,295.25,74600PE,409.55,910.2,407.2,747.0,True,2024-05-30 09:25:00,-87.03
2024-05-31,Friday,1,09:20:00,74287.22,74400CE,238.6,355.0,0.05,0.05,True,2024-05-31 09:22:00,-50.7,74400PE,282.0,579.7,150.4,428.9,True,2024-05-31 10:06:00,-59.92
2024-06-03,Monday,5,09:20:00,75977.45,76000CE,1350.05,1603.05,949.75,1603.05,False,,-269.88,76000PE,1302.0,1397.8,859.1,909.95,False,,375.78
2024-06-04,Tuesday,4,09:20:00,74995.79,75100CE,1055.1,1464.7,300.0,379.65,True,2024-06-04 09:24:00,-224.21,75100PE,1094.1,4996.2,1089.55,3326.45,True,2024-06-04 09:22:00,-232.5
2024-06-05,Wednesday,3,09:20:00,72200.16,72000CE,1028.5,2625.0,780.05,2254.65,True,2024-06-05 09:27:00,-218.56,72000PE,935.95,1218.8,70.75,93.55,True,2024-06-05 09:24:00,-198.89
2024-06-06,Thursday,2,09:20:00,74594.7,74600CE,570.0,999.15,388.75,749.5,True,2024-06-06 09:31:00,-121.12,74600PE,551.05,602.15,124.15,128.3,False,,415.86
2024-06-07,Friday,1,09:20:00,75135.68,75100CE,351.45,1743.95,340.1,1594.0,True,2024-06-07 09:21:00,-74.68,75100PE,341.3,348.35,0.05,0.05,False,,336.98
2024-06-10,Monday,5,09:20:00,76955.23,76900CE,742.0,772.65,422.25,424.15,False,,308.58,76900PE,764.25,1003.15,687.0,946.65,True,2024-06-10 09:37:00,-162.4
2024-06-11,Tuesday,4,09:20:00,76487.4,76500CE,598.9,754.8,465.95,492.4,True,2024-06-11 10:40:00,-127.27,76500PE,598.8,670.0,316.9,460.0,False,,131.31
2024-06-12,Wednesday,3,09:20:00,76653.04,76700CE,417.65,645.15,369.8,403.05,True,2024-06-12 09:50:00,-88.75,76700PE,445.85,464.15,271.05,423.65,False,,16.63
2024-06-13,Thursday,2,09:20:00,76996.57,77000CE,340.05,346.45,118.1,145.7,False,,190.1,77000PE,352.0,485.0,269.6,331.9,True,2024-06-13 09:41:00,-74.8
2024-06-14,Friday,1,09:20:00,76836.79,76800CE,159.8,246.0,58.25,186.7,True,2024-06-14 10:07:00,-33.96,76800PE,183.9,379.0,0.05,0.05,True,2024-06-14 09:21:00,-39.08
2024-06-18,Tuesday,4,09:20:00,77187.86,77100CE,431.25,535.95,411.1,459.8,True,2024-06-18 09:45:00,-91.64,77100PE,391.2,429.35,288.15,311.3,False,,75.01
2024-06-19,Wednesday,3,09:20:00,77402.59,77400CE,338.25,665.95,195.9,281.0,True,2024-06-19 14:31:00,-71.88,77400PE,359.9,631.55,245.8,451.5,True,2024-06-19 10:14:00,-76.48
2024-06-20,Thursday,2,09:20:00,77295.0,77200CE,362.9,550.0,270.0,445.0,True,2024-06-20 09:26:00,-77.12,77200PE,344.95,414.0,99.4,129.0,True,2024-06-20 09:24:00,-73.3
2024-06-21,Friday,1,09:20:00,77609.88,77600CE,199.9,227.6,0.05,0.05,False,,197.35,77600PE,243.55,891.75,153.35,381.5,True,2024-06-21 09:43:00,-51.75
2024-06-24,Monday,5,09:20:00,76934.19,77000CE,496.45,743.9,401.2,679.0,True,2024-06-24 11:03:00,-105.5,77000PE,520.0,581.85,325.3,335.0,False,,178.5
2024-06-25,Tuesday,4,09:20:00,77520.86,77500CE,428.8,727.5,400.0,704.45,True,2024-06-25 12:32:00,-91.12,77500PE,456.3,463.6,236.9,253.25,False,,197.35
2024-06-26,Wednesday,3,09:20:00,78106.59,77900CE,436.1,900.0,364.15,826.85,True,2024-06-26 10:56:00,-92.67,77900PE,396.65,416.05,139.8,152.75,False,,238.94
2024-06-27,Thursday,2,09:20:00,78600.18,78500CE,364.3,932.95,309.4,881.3,True,2024-06-27 09:40:00,-77.41,78500PE,361.4,426.25,75.2,82.2,False,,274.68
2024-06-28,Friday,1,09:20:00,79405.08,79400CE,261.0,370.0,0.1,0.1,True,2024-06-28 09:39:00,-55.46,79400PE,218.95,430.0,56.1,370.7,True,2024-06-28 12:17:00,-46.53
2024-07-01,Monday,5,09:20:00,79061.78,79100CE,533.5,737.3,516.4,711.05,True,2024-07-01 11:29:00,-113.37,79100PE,561.7,585.3,353.0,377.95,False,,176.73
2024-07-02,Tuesday,4,09:20:00,79601.58,79500CE,505.55,554.2,325.85,406.7,False,,92.53,79500PE,465.5,617.7,369.9,459.8,True,2024-07-02 09:44:00,-98.92
2024-07-03,Wednesday,3,09:20:00,79843.35,79700CE,417.9,547.0,382.6,487.2,True,2024-07-03 09:46:00,-88.8,79700PE,379.8,395.1,257.0,269.55,False,,105.5
2024-07-04,Thursday,2,09:20:00,80190.55,80100CE,308.9,463.35,164.1,193.9,True,2024-07-04 09:44:00,-65.64,80100PE,342.85,365.7,195.2,256.0,False,,82.56
2024-07-05,Friday,1,09:20:00,79600.3,79500CE,247.2,517.05,87.3,491.6,True,2024-07-05 11:31:00,-52.53,79500PE,210.25,225.15,0.05,0.1,False,,207.52
